"","X","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"60",60,"Dan Roundfield",227,"PF",26,"ATL",81,NA,2588,502,1007,0.499,0,4,0,502,1003,0.5,330,465,0.71,293,544,837,184,101,139,233,317,1334,19.7,0.551,0.499,0.462,0.004,12.1,22.7,17.3,11.3,1.9,3.2,16.1,22.8,108,98,4,5.1,9.1,0.169,147,147
"72",72,"Dennis Johnson",132,"SG",25,"SEA",81,NA,2937,574,1361,0.422,12,58,0.207,562,1303,0.431,380,487,0.78,173,241,414,332,144,82,227,267,1540,15.9,0.489,0.426,0.358,0.043,6.2,8.7,7.4,16.1,2.3,1.5,12.6,24.2,104,102,3,4.4,7.4,0.12,31.5,31.5
"95",95,"George Gervin",98,"SG",27,"SAS",78,NA,2934,1024,1940,0.528,32,102,0.314,992,1838,0.54,505,593,0.852,154,249,403,202,110,79,254,208,2585,24,0.587,0.536,0.306,0.053,5.7,8.9,7.3,11,1.6,1.4,10.3,31.7,115,110,9.3,1.3,10.6,0.173,19,19
"105",105,"Gus Williams",278,"PG",26,"SEA",82,NA,2969,739,1533,0.482,7,36,0.194,732,1497,0.489,331,420,0.788,127,148,275,397,200,37,181,160,1816,20.6,0.529,0.484,0.274,0.023,4.5,5.3,4.9,20.7,3.2,0.7,9.5,25.2,113,102,7.2,4.4,11.6,0.187,15,15
"150",150,"Julius Erving",85,"SF",29,"PHI",78,NA,2812,838,1614,0.519,4,20,0.2,834,1594,0.523,420,534,0.787,215,361,576,355,170,140,284,208,2100,25.4,0.568,0.52,0.331,0.012,8.6,12.9,10.9,21.4,2.8,2.7,13.3,30.3,111,99,7.3,5.2,12.5,0.213,2,2
"152",152,"Kareem Abdul-Jabbar",1,"C",32,"LAL",82,NA,3143,835,1383,0.604,0,1,0,835,1382,0.604,364,476,0.765,190,696,886,371,81,280,297,216,2034,25.3,0.639,0.604,0.344,0.001,7.2,22.2,15.4,16.5,1.2,4.6,15.7,24.1,118,100,9.5,5.3,14.8,0.227,2,2
"161",161,"Larry Bird",18,"PF",23,"BOS",82,82,2955,693,1463,0.474,58,143,0.406,635,1320,0.481,301,360,0.836,216,636,852,370,143,53,263,279,1745,20.5,0.538,0.494,0.246,0.098,8.3,23.6,16,18.5,2.3,1,14,25.3,109,98,5.6,5.6,11.2,0.182,2,2
"198",198,"Moses Malone",174,"C",24,"HOU",82,NA,3140,778,1549,0.502,0,6,0,778,1543,0.504,563,783,0.719,573,617,1190,147,80,107,300,210,2119,24.1,0.56,0.502,0.505,0.004,19.6,22.3,20.9,7.1,1.2,1.9,13.7,27.6,114,106,8.9,3,11.9,0.183,1.5,1.5
"265",265,"Tiny Archibald",4,"PG",31,"BOS",80,80,2864,383,794,0.482,4,18,0.222,379,776,0.488,361,435,0.83,59,138,197,671,106,10,242,218,1131,15.3,0.574,0.485,0.548,0.023,2.3,5.3,3.8,30.2,1.7,0.2,19.7,17,115,105,5.9,2.9,8.9,0.148,1,1
"2",2,"Adrian Dantley",60,"SF",24,"UTA",80,NA,3417,909,1627,0.559,2,7,0.286,907,1620,0.56,632,784,0.806,192,317,509,322,109,18,282,245,2452,24.3,0.622,0.559,0.482,0.004,6.5,10.5,8.5,16.3,1.6,0.3,12.5,28.4,118,111,12.3,1.3,13.6,0.191,28,454
"14",14,"Artis Gilmore",95,"C",31,"CHI",82,NA,2832,547,816,0.67,0,0,NA,547,816,0.67,375,532,0.705,220,608,828,172,47,198,236,295,1469,21.7,0.699,0.67,0.652,0,9.2,23.5,16.7,8.9,0.8,4,18.4,18.5,123,103,8.4,3.9,12.3,0.208,20,423
"17",17,"Bernard King",156,"SF",24,"GSW",81,NA,2914,731,1244,0.588,2,6,0.333,729,1238,0.589,307,437,0.703,178,373,551,287,72,34,265,304,1771,19.9,0.617,0.588,0.351,0.005,6.7,14.4,10.5,15.1,1.2,0.7,15.6,23.2,116,110,7.7,1.4,9.1,0.15,8,286
"32",32,"Bob Lanier",168,"C",32,"MIL",67,NA,1753,376,716,0.525,1,1,1,375,715,0.524,208,277,0.751,128,285,413,179,73,81,139,184,961,19.7,0.573,0.526,0.387,0.001,8.3,17.5,13,14,1.9,2.6,14.2,21.8,113,100,3.7,3,6.8,0.185,8,180
"35",35,"Bobby Jones",143,"PF",29,"PHI",81,NA,2046,407,755,0.539,0,3,0,407,752,0.541,282,347,0.813,142,293,435,226,95,74,149,226,1096,20.1,0.604,0.539,0.46,0.004,8.2,14.6,11.6,15.4,2.2,2,14.1,20.8,118,99,5.4,3.9,9.2,0.217,1,83
"42",42,"Caldwell Jones",144,"C",30,"PHI",81,NA,2639,218,485,0.449,0,0,NA,218,485,0.449,148,193,0.767,200,613,813,122,53,134,168,271,584,10.1,0.512,0.449,0.398,0,8.9,23.6,16.8,5.5,0.9,2.8,22.8,11.3,98,97,0.1,5.4,5.5,0.1,1,73
"73",73,"Dennis Johnson",131,"PG",26,"PHO",79,NA,2615,532,1220,0.436,11,51,0.216,521,1169,0.446,411,501,0.82,160,203,363,291,136,61,208,244,1486,17,0.516,0.441,0.411,0.042,6.9,8.4,7.7,15.8,2.4,1.3,12.6,24.6,108,100,4,4.4,8.4,0.154,0,53
"97",97,"George Gervin",94,"SG",28,"SAS",82,NA,2765,850,1729,0.492,9,35,0.257,841,1694,0.496,512,620,0.826,126,293,419,260,94,56,251,212,2221,22.9,0.555,0.494,0.359,0.02,5.2,11.1,8.2,15.8,1.6,1.1,11.1,32.3,113,107,8.1,2.4,10.5,0.182,0,50
"98",98,"George Johnson",133,"PF",24,"IND",43,NA,930,182,394,0.462,0,5,0,182,389,0.468,93,122,0.762,99,179,278,86,47,23,85,120,457,17.4,0.51,0.462,0.31,0.013,11.3,21.6,16.3,13.4,2.4,1.4,16,22.9,103,101,0.7,1.4,2.2,0.112,0,32
"108",108,"Jack Sikma",255,"C",25,"SEA",82,NA,2920,595,1311,0.454,0,5,0,595,1306,0.456,340,413,0.823,184,668,852,248,78,93,201,282,1530,18,0.512,0.454,0.315,0.004,7.1,24.6,16,13.2,1.3,1.7,11.9,23.6,106,101,3.5,4.5,8,0.132,0,19
"110",110,"Jamaal Wilkes",293,"SF",27,"LAL",81,NA,3028,786,1495,0.526,1,13,0.077,785,1482,0.53,254,335,0.758,146,289,435,235,121,29,207,223,1827,18,0.556,0.526,0.224,0.009,5.6,9.8,7.8,11.2,1.9,0.5,11.2,24.5,110,106,5.5,3,8.5,0.135,0,18
"116",116,"James Silas",256,"PG",31,"SAS",75,NA,2055,476,997,0.477,0,2,0,476,995,0.478,374,440,0.85,44,187,231,285,51,12,159,129,1326,19.4,0.557,0.477,0.441,0.002,2.4,9.5,6.1,20.7,1.2,0.3,11.8,26.1,115,109,5.7,1.3,7,0.164,1,15
"1501",150,"Julius Erving",83,"SF",30,"PHI",82,NA,2874,794,1524,0.521,4,18,0.222,790,1506,0.525,422,536,0.787,244,413,657,364,173,147,266,233,2014,25.1,0.572,0.522,0.352,0.012,10,14.6,12.5,19.8,2.8,2.8,13.1,28.4,113,97,7.8,6.1,13.8,0.231,1,15
"1521",152,"Kareem Abdul-Jabbar",1,"C",33,"LAL",80,NA,2976,836,1457,0.574,0,1,0,836,1456,0.574,423,552,0.766,197,624,821,272,59,228,249,244,2095,25.5,0.616,0.574,0.379,0.001,7.6,21.5,15,13.6,0.9,4,12.8,26.3,118,101,9.6,4.6,14.3,0.23,0,12
"155",155,"Kelvin Ransey",227,"PG",22,"POR",80,NA,2431,525,1162,0.452,3,31,0.097,522,1131,0.462,164,219,0.749,42,153,195,555,88,9,232,201,1217,14.9,0.484,0.453,0.188,0.027,1.9,6.9,4.4,31.4,1.7,0.2,15.6,24.3,101,109,1.3,1.6,2.8,0.056,1,11
"169",169,"Larry Bird",14,"PF",24,"BOS",82,82,3239,719,1503,0.478,20,74,0.27,699,1429,0.489,283,328,0.863,191,704,895,451,161,63,289,239,1741,19.9,0.528,0.485,0.218,0.049,7,23.8,15.7,20.4,2.4,1.1,14.9,24.3,107,99,4.7,6.1,10.8,0.16,0,11
"187",187,"Magic Johnson",137,"SG",21,"LAL",37,NA,1371,312,587,0.532,3,17,0.176,309,570,0.542,171,225,0.76,101,219,320,317,127,27,143,100,798,25.7,0.582,0.534,0.383,0.029,8.5,16.4,12.7,31.8,4.3,1,17.2,24.3,115,98,3.8,2.6,6.4,0.225,0,7
"191",191,"Marques Johnson",138,"SF",24,"MIL",76,NA,2542,636,1153,0.552,0,9,0,636,1144,0.556,269,381,0.706,225,293,518,346,115,41,190,196,1541,22,0.583,0.552,0.33,0.008,10.1,12.4,11.3,19.7,2.1,0.9,12.6,23.3,118,102,7.6,3.6,11.2,0.211,0,7
"1981",198,"Michael Cooper",52,"SG",24,"LAL",81,NA,2625,321,654,0.491,4,19,0.211,317,635,0.499,117,149,0.785,121,215,336,332,133,78,164,249,763,12.2,0.53,0.494,0.228,0.029,5.3,8.4,6.9,15.2,2.4,1.6,18.6,13.5,106,105,2,3,5,0.092,0,6
"200",200,"Micheal Ray Richardson",234,"SG",25,"NYK",79,NA,3175,523,1116,0.469,23,102,0.225,500,1014,0.493,224,338,0.663,173,372,545,627,232,35,302,258,1293,17.1,0.511,0.479,0.303,0.091,6,13.9,9.8,27.5,3.5,0.6,19.3,20,102,102,2.2,4.7,6.9,0.104,0,6
"210",210,"Mike Mitchell",196,"SF",25,"CLE",82,NA,3194,853,1791,0.476,4,9,0.444,849,1782,0.476,302,385,0.784,215,287,502,139,63,52,175,199,2012,17.5,0.513,0.477,0.215,0.005,7.1,10.5,8.7,6.9,0.9,0.9,8.2,26.9,107,111,5,1.1,6,0.091,0,5
"217",217,"Moses Malone",180,"C",25,"HOU",80,NA,3245,806,1545,0.522,1,3,0.333,805,1542,0.522,609,804,0.757,474,706,1180,141,83,150,308,223,2222,25.1,0.585,0.522,0.52,0.002,16.1,24.5,20.3,6.6,1.2,2.6,14,27.6,115,104,9.5,4.2,13.7,0.202,0,4
"220",220,"Norm Nixon",209,"PG",25,"LAL",79,NA,2962,576,1210,0.476,2,12,0.167,574,1198,0.479,196,252,0.778,64,168,232,696,146,11,285,226,1350,15.5,0.511,0.477,0.208,0.01,2.5,5.8,4.2,30.9,2.3,0.2,17.7,21.8,104,107,2.8,2.7,5.5,0.089,0,4
"224",224,"Otis Birdsong",15,"SG",25,"KCK",71,NA,2593,710,1306,0.544,10,35,0.286,700,1271,0.551,317,455,0.697,119,139,258,233,93,18,173,172,1747,20.3,0.58,0.547,0.348,0.027,5.1,5.9,5.5,14.3,1.7,0.4,10.3,26.8,113,108,6.2,2,8.2,0.152,0,3
"230",230,"Phil Ford",88,"PG",24,"KCK",66,NA,2287,424,887,0.478,11,36,0.306,413,851,0.485,294,354,0.831,26,102,128,580,99,6,241,190,1153,17.3,0.553,0.484,0.399,0.041,1.3,4.9,3.1,35.5,2.1,0.1,18.8,23.3,107,107,3.4,1.9,5.2,0.11,0,3
"234",234,"Quinn Buckner",31,"PG",26,"MIL",82,NA,2384,471,956,0.493,1,6,0.167,470,950,0.495,149,203,0.734,88,210,298,384,197,3,236,271,1092,15.1,0.522,0.493,0.212,0.006,4.2,9.5,6.9,21.6,3.8,0.1,18.4,21.1,102,100,1.4,4,5.4,0.108,0,3
"241",241,"Reggie Theus",267,"SG",23,"CHI",82,NA,2820,543,1097,0.495,18,90,0.2,525,1007,0.521,445,550,0.809,124,163,287,426,122,20,259,258,1549,18.4,0.578,0.503,0.501,0.082,5.2,6.3,5.8,22.2,2.1,0.4,16.2,23.1,115,108,7.1,2.1,9.2,0.156,0,3
"249",249,"Robert Parish",215,"C",27,"BOS",82,78,2298,635,1166,0.545,0,1,0,635,1165,0.545,282,397,0.71,245,532,777,144,81,214,191,310,1552,25.2,0.579,0.545,0.34,0.001,12.7,25.3,19.3,10,1.7,5.1,12.5,27.1,113,96,6,4.9,10.9,0.228,0,3
"280",280,"Tiny Archibald",5,"PG",32,"BOS",80,72,2820,382,766,0.499,0,9,0,382,757,0.505,342,419,0.816,36,140,176,618,75,18,265,201,1106,14.3,0.582,0.499,0.547,0.012,1.5,5.4,3.6,28.5,1.3,0.4,21.8,17.5,111,107,4.6,2.3,6.9,0.118,0,3
"291",291,"Truck Robinson",238,"PF",29,"PHO",82,NA,3088,647,1280,0.505,0,0,NA,647,1280,0.505,249,396,0.629,216,573,789,206,68,38,250,220,1543,14.9,0.531,0.505,0.309,0,7.9,20.1,14.1,9.6,1,0.7,14.7,21.5,103,100,2.4,5.3,7.6,0.119,0,1
"295",295,"Walter Davis",65,"SG",26,"PHO",78,NA,2182,593,1101,0.539,7,17,0.412,586,1084,0.541,209,250,0.836,63,137,200,302,97,12,222,192,1402,18.4,0.579,0.542,0.227,0.015,3.2,6.8,5.1,21.8,2,0.3,15.5,25.6,109,102,4,3.2,7.1,0.157,0,1
"1",1,"Adrian Dantley",61,"SF",25,"UTA",81,81,3222,904,1586,0.57,1,3,0.333,903,1583,0.57,648,818,0.792,231,283,514,324,95,14,299,252,2457,24.2,0.631,0.57,0.516,0.002,7.6,9.6,8.6,15.5,1.4,0.2,13.3,27.9,121,114,11.9,0.7,12.6,0.187,40,507
"6",6,"Alex English",85,"SF",28,"DEN",82,82,3015,855,1553,0.551,0,8,0,855,1545,0.553,372,443,0.84,210,348,558,433,87,120,261,261,2082,22.2,0.596,0.551,0.285,0.005,7.7,12,9.9,19.9,1.3,2,13,25.3,118,114,8.9,0.6,9.5,0.152,20,456
"16",16,"Bernard King",158,"SF",25,"GSW",79,77,2861,740,1307,0.566,1,5,0.2,739,1302,0.568,352,499,0.705,140,329,469,282,78,23,267,285,1833,19.8,0.6,0.567,0.382,0.004,5.2,12.8,8.9,14.9,1.3,0.4,14.9,25.3,114,109,6.6,2.2,8.7,0.147,1,203
"38",38,"Buck Williams",300,"PF",21,"NJN",82,82,2825,513,881,0.582,0,1,0,513,880,0.583,242,388,0.624,347,658,1005,107,84,84,235,285,1268,17.2,0.603,0.582,0.44,0.001,13.7,26.6,20.1,5.4,1.4,1.7,18.3,18.2,110,100,3.6,5.3,8.9,0.152,4,131
"62",62,"Dan Issel",128,"C",33,"DEN",81,81,2472,651,1236,0.527,4,6,0.667,647,1230,0.526,546,655,0.834,174,434,608,179,67,55,169,245,1852,23.1,0.608,0.528,0.53,0.005,7.7,18.3,13.2,9.8,1.2,1.1,10,26,123,113,9,0.8,9.8,0.19,2,115
"63",63,"Dan Roundfield",246,"PF",28,"ATL",61,58,2217,424,910,0.466,1,5,0.2,423,905,0.467,285,375,0.76,227,494,721,162,64,93,183,210,1134,19.5,0.527,0.466,0.412,0.005,11.6,25.3,18.4,11.9,1.5,2.6,14.5,24.6,106,100,2.4,4.1,6.5,0.141,1,110
"77",77,"Dennis Johnson",132,"SG",27,"PHO",80,77,2937,577,1228,0.47,8,42,0.19,569,1186,0.48,399,495,0.806,142,268,410,369,105,55,233,253,1561,16.7,0.54,0.473,0.403,0.034,5.5,9.8,7.7,18.3,1.7,1.1,13.9,23.6,108,104,4.1,4,8.1,0.132,1,101
"102",102,"George Gervin",95,"SG",29,"SAS",79,79,2817,993,1987,0.5,10,36,0.278,983,1951,0.504,555,642,0.864,138,254,392,187,77,45,210,215,2551,24.2,0.562,0.502,0.323,0.018,5.2,9.7,7.5,11.4,1.3,0.9,8.5,35,114,110,8.7,2,10.7,0.182,0,67
"1101",110,"Gus Williams",302,"PG",28,"SEA",80,80,2876,773,1592,0.486,9,40,0.225,764,1552,0.492,320,436,0.734,92,152,244,549,172,36,197,163,1875,21.8,0.526,0.488,0.274,0.025,3.6,5.5,4.6,31,2.9,0.7,9.9,28.5,111,103,5.9,4.3,10.2,0.171,0,33
"117",117,"Isiah Thomas",271,"PG",20,"DET",72,72,2433,453,1068,0.424,17,59,0.288,436,1009,0.432,302,429,0.704,57,152,209,565,150,17,299,253,1225,14.5,0.487,0.432,0.402,0.055,2.5,7.1,4.7,32.6,2.8,0.4,19.2,25,98,107,-0.2,2.5,2.3,0.046,0,31
"118",118,"Jack Sikma",256,"C",26,"SEA",82,82,3049,581,1212,0.479,2,13,0.154,579,1199,0.483,447,523,0.855,223,815,1038,277,102,107,213,268,1611,20.6,0.559,0.48,0.432,0.011,8.2,28,18.5,13.1,1.6,1.9,12.9,22.5,113,97,5.9,6.7,12.6,0.199,0,14
"120",120,"Jamaal Wilkes",297,"SF",28,"LAL",82,82,2906,744,1417,0.525,0,4,0,744,1413,0.527,246,336,0.732,153,240,393,143,89,24,164,240,1734,16.5,0.554,0.525,0.237,0.003,6,8.7,7.4,6.7,1.4,0.4,9.5,23.6,112,109,5.3,2.4,7.7,0.127,0,14
"130",130,"Jay Vincent",284,"PF",22,"DAL",81,62,2626,719,1448,0.497,1,4,0.25,718,1444,0.497,293,409,0.716,182,383,565,176,89,22,194,308,1732,18.7,0.532,0.497,0.282,0.003,7.7,17.3,12.3,11.5,1.7,0.5,10.6,28.6,107,109,3.6,2,5.6,0.102,0,12
"162",162,"Julius Erving",86,"SF",31,"PHI",81,81,2789,780,1428,0.546,3,11,0.273,777,1417,0.548,411,539,0.763,220,337,557,319,161,141,214,229,1974,25.9,0.593,0.547,0.377,0.008,9.3,13,11.2,18.1,2.8,2.9,11.4,28.1,117,102,8.7,4.6,13.3,0.229,0,10
"164",164,"Kareem Abdul-Jabbar",1,"C",34,"LAL",76,76,2677,753,1301,0.579,0,3,0,753,1298,0.58,312,442,0.706,172,487,659,225,63,207,230,224,1818,23.4,0.608,0.579,0.34,0.002,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,116,104,6.9,3.9,10.7,0.192,0,7
"166",166,"Kelly Tripucka",277,"SF",22,"DET",82,82,3077,636,1281,0.496,5,22,0.227,631,1259,0.501,495,621,0.797,219,224,443,270,89,16,280,241,1772,16.4,0.57,0.498,0.485,0.017,7.6,8.2,7.9,12.7,1.3,0.3,15.3,23.3,111,110,5.4,2.1,7.5,0.117,0,6
"184",184,"Larry Bird",15,"PF",25,"BOS",77,58,2923,711,1414,0.503,11,52,0.212,700,1362,0.514,328,380,0.863,200,637,837,447,143,66,254,244,1761,22.6,0.557,0.507,0.269,0.037,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,114,99,6.8,5.7,12.5,0.205,0,3
"201",201,"Magic Johnson",139,"SG",22,"LAL",78,77,2991,556,1036,0.537,6,29,0.207,550,1007,0.546,329,433,0.76,252,499,751,743,208,34,286,223,1447,22.9,0.59,0.54,0.418,0.028,9.5,17.5,13.7,31,3.2,0.6,18.9,20.1,118,102,8.1,4.8,12.9,0.207,0,3
"207",207,"Marques Johnson",140,"SF",25,"MIL",60,52,1900,404,760,0.532,0,4,0,404,756,0.534,182,260,0.7,153,211,364,213,59,35,145,142,990,18,0.566,0.532,0.342,0.005,9.6,12.3,11,16.4,1.5,1.1,14.2,22.1,112,104,3.5,2.7,6.2,0.158,0,3
"213",213,"Michael Cooper",52,"SG",25,"LAL",76,14,2197,383,741,0.517,2,17,0.118,381,724,0.526,139,171,0.813,84,185,269,230,120,61,151,216,907,14.3,0.556,0.518,0.231,0.023,4.3,8.8,6.7,12.9,2.5,1.5,15.6,17.5,109,106,2.4,2.6,5,0.109,0,3
"232",232,"Moses Malone",187,"C",26,"HOU",81,81,3398,945,1822,0.519,0,6,0,945,1816,0.52,630,827,0.762,558,630,1188,142,76,125,294,208,2520,26.8,0.576,0.519,0.454,0.003,17.5,21.2,19.3,6.9,1.1,2.1,11.9,29.9,118,106,11.7,3.7,15.4,0.218,0,1
"233",233,"Mychal Thompson",273,"C",27,"POR",79,78,3129,681,1303,0.523,0,0,NA,681,1303,0.523,280,446,0.628,258,663,921,319,69,107,245,233,1642,19.2,0.548,0.523,0.342,0,9.3,23.4,16.4,14.6,1.1,1.9,14,22.9,109,106,4.5,3.6,8.2,0.125,0,1
"253",253,"Ray Williams",304,"SG",27,"NJN",82,69,2732,639,1383,0.462,9,54,0.167,630,1329,0.474,387,465,0.832,117,208,325,488,199,43,290,302,1674,19,0.527,0.465,0.336,0.039,4.8,8.7,6.7,27.4,3.4,0.9,15.4,27.4,106,101,3.3,4.6,7.9,0.139,0,1
"267",267,"Robert Parish",221,"C",28,"BOS",80,78,2534,669,1235,0.542,0,0,NA,669,1235,0.542,252,355,0.71,288,578,866,140,68,192,221,267,1590,22.6,0.571,0.542,0.287,0,12.8,24.5,18.8,8.4,1.3,4.1,13.7,25.5,112,99,5,5.1,10,0.19,0,1
"287",287,"Sidney Moncrief",205,"SG",24,"MIL",80,80,2980,556,1063,0.523,1,14,0.071,555,1049,0.529,468,573,0.817,221,313,534,382,138,22,208,206,1581,20.1,0.601,0.524,0.539,0.013,8.8,11.6,10.3,18.1,2.2,0.4,13.7,21,122,103,8.9,4.5,13.4,0.216,0,1
"4",4,"Alex English",83,"SF",29,"DEN",82,82,2988,959,1857,0.516,2,12,0.167,957,1845,0.519,406,490,0.829,263,338,601,397,116,126,263,235,2326,24.1,0.561,0.517,0.264,0.006,8.9,11.5,10.2,19.5,1.7,2.1,11.3,28.9,113,109,8.7,1.6,10.3,0.166,69,720
