,X,Player,totals.Pos,totals.Age,totals.Tm,totals.G,totals.GS,totals.MP,totals.FG,totals.FGA,totals.FG.,totals.3P,totals.3PA,totals.3P.,totals.2P,totals.2PA,totals.2P.,totals.FT,totals.FTA,totals.FT.,totals.ORB,totals.DRB,totals.TRB,totals.AST,totals.STL,totals.BLK,totals.TOV,totals.PF,totals.PTS,advanced.PER,advanced.TS.,advanced.eFG.,advanced.FTr,advanced.3PAr,advanced.ORB.,advanced.DRB.,advanced.TRB.,advanced.AST.,advanced.STL.,advanced.BLK.,advanced.TOV.,advanced.USG.,advanced.ORtg,advanced.DRtg,advanced.OWS,advanced.DWS,advanced.WS,advanced.WS.48,Pts.Won
120,120,Dirk Nowitzki,PF,24,DAL,80,80,3117,690,1489,0.463,148,390,0.379,542,1099,0.493,483,548,0.881,81,710,791,239,111,82,152,206,2011,25.6,0.581,0.513,0.368,0.262,2.9,25.1,14,13.3,1.8,2,8.1,27.4,117,98,10.8,5.3,16.1,0.249,0.13800905
179,179,Jamal Mashburn,SF,30,NOH,82,81,3321,670,1586,0.422,119,306,0.389,551,1280,0.43,313,369,0.848,66,432,498,462,83,17,230,196,1772,18,0.507,0.46,0.233,0.193,2.3,15.3,8.7,26.2,1.3,0.4,11.6,27.1,105,103,5.4,3.6,9,0.13,0.040723982
189,189,Jason Kidd,PG,29,NJN,80,80,2989,515,1244,0.414,126,370,0.341,389,874,0.445,339,403,0.841,110,394,504,711,179,25,296,127,1495,22.2,0.526,0.465,0.324,0.297,4.2,15.1,9.6,42.2,3.1,0.6,17.2,25.9,106,96,5.5,5.8,11.3,0.182,0.026826115
2351,235,Kevin Garnett,PF,26,MIN,82,82,3321,743,1481,0.502,20,71,0.282,723,1410,0.513,377,502,0.751,244,858,1102,495,113,129,229,199,1883,26.4,0.553,0.508,0.339,0.048,8.6,28.5,18.8,25.8,1.8,2.8,11.9,26.4,113,98,9.8,5.8,15.6,0.225,0.013897867
240,240,Kobe Bryant,SG,24,LAL,82,82,3401,868,1924,0.451,124,324,0.383,744,1600,0.465,601,713,0.843,106,458,564,481,181,67,288,218,2461,26.2,0.55,0.483,0.371,0.168,3.5,15.3,9.3,27.2,2.8,1.4,11.4,32.9,111,103,11,4,14.9,0.21,0.010665805
310,310,Paul Pierce,SG,25,BOS,79,79,3096,663,1592,0.416,118,391,0.302,545,1201,0.454,604,753,0.802,106,472,578,349,139,62,288,227,2048,22.7,0.532,0.454,0.473,0.246,3.8,17.7,10.6,24.2,2.4,1.6,13,33.2,104,100,5.3,4.8,10.1,0.157,0.010019392
365,365,Shaquille O'Neal,C,30,LAL,67,66,2535,695,1211,0.574,0,0,0,695,1211,0.574,451,725,0.622,259,483,742,206,38,159,196,229,1841,29.5,0.602,0.574,0.599,0,11.4,21.6,16.5,16.2,0.8,4.5,11.4,30.2,117,102,10.2,3,13.2,0.25,0.006140918
379,379,Steve Nash,PG,28,DAL,82,82,2711,518,1114,0.465,111,269,0.413,407,845,0.482,308,339,0.909,63,171,234,598,85,6,192,134,1455,22.6,0.576,0.515,0.304,0.241,2.6,7,4.8,36.3,1.6,0.2,13.2,24.4,118,106,9.7,1.9,11.6,0.206,0.000323206
389,389,Tim Duncan,PF,26,SAS,81,81,3181,714,1392,0.513,6,22,0.273,708,1370,0.517,450,634,0.71,259,784,1043,316,55,237,248,231,1884,26.9,0.564,0.515,0.455,0.016,9.9,27.3,19,19.5,0.9,5.2,12.9,28,112,94,9.5,6.9,16.5,0.248,0.000323206
400,400,Tracy McGrady,SG,23,ORL,75,74,2954,829,1813,0.457,173,448,0.386,656,1365,0.481,576,726,0.793,121,367,488,411,124,59,195,156,2407,30.3,0.564,0.505,0.4,0.247,4.6,14.6,9.5,30,2.2,1.5,8.4,35.2,116,104,13.2,2.9,16.1,0.262,0.000323206
16,16,Andrei Kirilenko,PF,22,UTA,78,78,2895,412,931,0.443,68,201,0.338,344,730,0.471,392,496,0.79,226,403,629,244,150,215,215,174,1284,22.6,0.559,0.479,0.533,0.216,9.5,17.5,13.5,15.7,2.9,6.3,15.8,21.9,111,97,6.5,5,11.6,0.192,0.381175735
31,31,Baron Davis,PG,24,NOH,67,66,2686,554,1402,0.395,187,582,0.321,367,820,0.448,237,352,0.673,66,221,287,501,158,27,215,178,1532,20.7,0.492,0.462,0.251,0.415,2.7,9.6,6.1,37.9,3.2,0.8,12.1,30.1,103,102,4.3,3.2,7.5,0.133,0.223889931
33,33,Ben Wallace,C,29,DET,81,81,3050,315,748,0.421,1,8,0.125,314,740,0.424,142,290,0.49,324,682,1006,138,143,246,123,162,773,17.3,0.441,0.422,0.388,0.011,12.5,25.5,19.1,7.7,2.6,6.1,12.3,15.3,98,87,1.1,9.1,10.2,0.16,0.163539712
62,62,Carmelo Anthony,SF,19,DEN,82,82,2995,624,1465,0.426,69,214,0.322,555,1251,0.444,408,525,0.777,183,315,498,227,97,41,247,225,1725,17.6,0.509,0.449,0.358,0.146,6.8,12.1,9.4,13.8,1.7,1,12.7,28.5,102,105,3.7,2.4,6.1,0.098,0.087867417
122,122,Dirk Nowitzki,C,25,DAL,77,77,2915,605,1310,0.462,99,290,0.341,506,1020,0.496,371,423,0.877,90,580,670,207,92,104,135,216,1680,22.5,0.561,0.5,0.323,0.221,3.3,22.2,12.5,11.3,1.6,2.6,8.3,24.5,116,104,9,2.5,11.5,0.19,0.066291432
190,190,Jason Kidd,PG,30,NJN,67,66,2450,368,959,0.384,94,293,0.321,274,666,0.411,206,249,0.827,85,343,428,618,122,14,214,110,1036,19.7,0.485,0.433,0.26,0.306,4.1,16.5,10.3,44.8,2.7,0.4,16.7,24.6,102,97,2.8,4.4,7.2,0.141,0.055659787
198,198,Jermaine O'Neal,PF,25,IND,78,78,2788,608,1400,0.434,2,18,0.111,606,1382,0.438,348,460,0.757,193,585,778,164,59,199,181,248,1566,21.1,0.489,0.435,0.329,0.013,8.1,25,16.5,12.3,1.2,5.5,10.1,30.2,100,93,2.7,6.3,9,0.155,0.00750469
233,233,Kevin Garnett,PF,27,MIN,82,82,3231,804,1611,0.499,11,43,0.256,793,1568,0.506,368,465,0.791,245,894,1139,409,120,178,212,202,1987,29.4,0.547,0.502,0.289,0.027,9.1,30,20.1,24.4,2,4,10.5,29.6,112,92,10.4,8,18.3,0.272,0.005315822
239,239,Kobe Bryant,SG,25,LAL,65,64,2447,516,1178,0.438,71,217,0.327,445,961,0.463,454,533,0.852,103,256,359,330,112,28,171,176,1557,23.7,0.551,0.468,0.452,0.184,4.7,12,8.3,24.4,2.4,0.8,10.8,29.1,112,102,7.8,3,10.7,0.21,0.00343965
248,248,LeBron James,SG,19,CLE,79,79,3122,622,1492,0.417,63,217,0.29,559,1275,0.438,347,460,0.754,99,333,432,465,130,58,273,149,1654,18.3,0.488,0.438,0.308,0.145,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,99,104,2.4,2.6,5.1,0.078,0.001250782
290,290,Michael Redd,SG,24,MIL,82,82,3021,633,1439,0.44,127,363,0.35,506,1076,0.47,383,441,0.868,118,289,407,185,81,6,116,152,1776,19.9,0.544,0.484,0.306,0.252,4.4,10.9,7.7,11.3,1.4,0.1,6.6,26.3,113,108,8.4,1.3,9.7,0.154,0.001250782
3211,321,Peja Stojakovic,SF,26,SAC,81,81,3264,665,1386,0.48,240,554,0.433,425,832,0.511,394,425,0.927,91,417,508,173,108,14,153,159,1964,21.8,0.624,0.566,0.307,0.4,3.2,14.1,8.8,9.1,1.7,0.3,8.9,23.9,120,106,11.4,2.1,13.5,0.198,0.001250782
364,364,Sam Cassell,PG,34,MIN,81,81,2838,620,1270,0.488,74,186,0.398,546,1084,0.504,289,331,0.873,44,227,271,592,102,18,220,247,1603,22.8,0.566,0.517,0.261,0.146,1.9,8.7,5.5,38,1.9,0.5,13.5,27.2,113,102,8.8,3.3,12.1,0.205,0.000625391
378,378,Shaquille O'Neal,C,31,LAL,67,67,2464,554,948,0.584,0,0,0,554,948,0.584,331,676,0.49,246,523,769,196,34,166,195,225,1439,24.4,0.578,0.584,0.713,0,11.1,24.4,17.7,14.8,0.7,5,13.5,26.3,109,98,5.9,4,9.9,0.192,0.000312695
4001,400,Tim Duncan,PF,27,SAS,69,68,2527,592,1181,0.501,2,12,0.167,590,1169,0.505,352,588,0.599,227,632,859,213,62,185,183,164,1538,27.1,0.534,0.502,0.498,0.01,10.2,27.6,19,17.4,1.3,5.3,11.3,29.7,107,89,5.9,7.2,13.1,0.249,0.000312695
435,435,Yao Ming,C,23,HOU,82,82,2692,535,1025,0.522,0,2,0,535,1023,0.523,361,446,0.809,197,538,735,122,22,156,204,273,1431,21.9,0.586,0.522,0.435,0.002,9.1,22.4,16.1,9.3,0.4,4.5,14.3,25.3,110,97,6.5,4.8,11.4,0.202,0.000312695
111,11,Allen Iverson,PG,29,PHI,75,75,3174,771,1818,0.424,104,338,0.308,667,1480,0.451,656,786,0.835,51,248,299,596,180,9,344,140,2302,23.2,0.532,0.453,0.432,0.186,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35,105,105,5.3,3.7,9,0.136,0.322834646
13,13,Amar'e Stoudemire,C,22,PHO,80,80,2889,747,1336,0.559,3,16,0.188,744,1320,0.564,583,795,0.733,219,494,713,131,77,130,189,278,2080,26.6,0.617,0.56,0.595,0.012,8.5,17.4,13.2,7.7,1.3,3,10.1,28.3,121,105,11.3,3.3,14.6,0.243,0.312537856
128,128,Dirk Nowitzki,PF,26,DAL,78,78,3020,663,1445,0.459,91,228,0.399,572,1217,0.47,615,708,0.869,96,661,757,240,97,119,176,219,2032,26.1,0.578,0.49,0.49,0.158,3.6,24,14,14.3,1.7,2.9,9.1,28.7,118,100,10.3,5.2,15.6,0.248,0.105693519
136,136,Dwyane Wade,SG,23,MIA,77,77,2974,630,1318,0.478,13,45,0.289,617,1273,0.485,581,762,0.762,110,287,397,520,121,82,321,230,1854,23.1,0.561,0.483,0.578,0.034,4.5,10.8,7.8,31,2.2,2,16.3,30.9,109,103,6.7,4.3,11,0.177,0.099333737
164,164,Gilbert Arenas,PG,23,WAS,80,80,3274,656,1523,0.431,205,562,0.365,451,961,0.469,521,640,0.814,83,295,378,411,139,23,242,245,2038,21.3,0.565,0.498,0.42,0.369,2.8,10.5,6.5,22.9,2.2,0.5,11.8,27.3,115,109,9.2,2.3,11.5,0.169,0.072683222
2481,248,Kevin Garnett,PF,28,MIN,82,82,3121,683,1360,0.502,6,25,0.24,677,1335,0.507,445,549,0.811,247,861,1108,466,121,112,222,207,1817,28.2,0.567,0.504,0.404,0.018,9.5,30.2,20.3,27.1,2.1,2.6,12.2,27.1,117,99,10.1,6,16.1,0.248,0.028164749
268,268,LeBron James,SF,20,CLE,80,80,3388,795,1684,0.472,108,308,0.351,687,1376,0.499,477,636,0.75,111,477,588,577,177,52,262,146,2175,25.7,0.554,0.504,0.378,0.183,3.8,17,10.2,32.9,2.8,1.1,11.8,29.7,114,103,9.7,4.6,14.3,0.203,0.013325257
289,289,Marcus Camby,C,30,DEN,66,66,2015,279,600,0.465,0,4,0,279,596,0.468,125,173,0.723,131,530,661,152,61,199,103,177,683,18,0.505,0.465,0.288,0.007,7.5,30.1,18.9,12,1.6,7.4,13.2,17.2,103,96,1.2,4.5,5.8,0.138,0.013022411
341,341,P.J. Brown,PF,35,NOH,82,78,2817,338,758,0.446,0,0,0,338,758,0.446,210,243,0.864,266,471,737,178,74,50,101,233,886,15.5,0.512,0.446,0.321,0,10.7,20.6,15.5,11.2,1.4,1.4,10.5,15.9,112,106,4,2.9,6.9,0.118,0.012416717
3651,365,Ray Allen,SG,29,SEA,78,78,3064,640,1494,0.428,209,556,0.376,431,938,0.459,378,428,0.883,79,268,347,289,84,5,171,167,1867,20.9,0.555,0.498,0.286,0.372,3.2,10.7,6.9,18.1,1.5,0.1,9.2,28,117,112,9.7,1,10.7,0.168,0.012416717
4002,400,Shaquille O'Neal,C,32,MIA,73,73,2492,658,1095,0.601,0,0,0,658,1095,0.601,353,765,0.461,253,507,760,200,36,171,203,262,1669,27,0.583,0.601,0.699,0,12.4,22.8,17.8,15.7,0.8,5,12.4,30.5,111,100,6.4,4.6,11,0.211,0.004542701
404,404,Shawn Marion,PF,26,PHO,81,81,3146,613,1289,0.476,114,341,0.334,499,948,0.526,229,275,0.833,235,680,915,154,163,119,125,199,1569,21.7,0.556,0.52,0.213,0.265,8.4,22,15.5,7.5,2.6,2.5,8.1,21.3,116,101,7.3,5.2,12.5,0.191,0.001211387
413,413,Steve Nash,PG,30,PHO,75,75,2573,430,857,0.502,94,218,0.431,336,639,0.526,211,238,0.887,57,192,249,861,74,6,245,136,1165,22,0.606,0.557,0.278,0.254,2.5,7.6,5.2,49.2,1.4,0.2,20.3,20.5,123,111,9.7,1.2,10.9,0.203,0.00090854
422,422,Tim Duncan,PF,28,SAS,66,66,2203,517,1042,0.496,3,9,0.333,514,1033,0.498,305,455,0.67,202,530,732,179,45,174,127,144,1342,27,0.54,0.498,0.437,0.009,10.7,28.2,19.4,16.1,1.1,5.7,9.3,28.9,112,93,5.5,5.7,11.2,0.245,0.000302847
433,433,Tracy McGrady,SF,25,HOU,78,78,3182,715,1660,0.431,142,435,0.326,573,1225,0.468,431,557,0.774,71,413,484,448,135,52,201,167,2003,22.9,0.526,0.473,0.336,0.262,2.7,14.8,8.9,28.6,2.3,1.3,9.5,31.2,109,101,6.5,5.4,12,0.18,0.000302847
446,446,Vince Carter,SF,28,TOT,77,76,2828,696,1541,0.452,127,313,0.406,569,1228,0.463,367,460,0.798,106,295,401,327,109,48,168,243,1886,22.9,0.541,0.493,0.299,0.203,4.4,12.6,8.4,25.7,2.1,1.3,8.8,31.6,109,104,5.9,3.5,9.4,0.159,0.000302847
12,12,Allen Iverson,PG,30,PHI,72,72,3103,815,1822,0.447,72,223,0.323,743,1599,0.465,675,829,0.814,44,188,232,532,140,10,248,121,2377,25.9,0.543,0.467,0.455,0.122,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,111,110,8.8,1.8,10.6,0.165,0.284307692
82,82,Chauncey Billups,PG,29,DET,81,81,2925,423,1012,0.418,184,425,0.433,239,587,0.407,465,520,0.894,41,211,252,699,71,8,170,160,1495,23.4,0.602,0.509,0.514,0.42,1.6,8.7,5.1,39.3,1.3,0.2,12,22.9,127,107,12.7,2.8,15.5,0.254,0.211692308
