"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"45","Brian Grant","136","PF",22,"SAC",80,59,2289,413,809,0.511,1,4,0.25,412,805,0.512,231,363,0.636,207,391,598,99,49,116,163,276,1058,16.5,0.546,0.511,0.449,0.005,10.7,19.5,15.2,7.4,1.1,3.8,14.4,22,106,104,1.9,3.4,5.3,0.112,0,0
"46","Brian Oliver","267","SG",26,"WSB",6,0,42,4,9,0.444,0,0,NA,4,9,0.444,6,8,0.75,0,4,4,4,0,0,3,8,14,6.9,0.559,0.444,0.889,0,0,11.4,5.5,13.5,0,0,19.3,16.2,103,116,0,0,0,0.022,0,0
"47","Brian Shaw","329","PG",28,"ORL",78,9,1836,192,494,0.389,48,184,0.261,144,310,0.465,70,95,0.737,52,189,241,406,73,18,184,184,502,10.4,0.468,0.437,0.192,0.372,3.3,11.4,7.5,29,2,0.7,25.6,16.8,97,109,-0.4,1.8,1.3,0.035,0,0
"48","Brooks Thompson","357","PG",24,"ORL",38,2,246,45,114,0.395,18,58,0.31,27,56,0.482,8,12,0.667,7,16,23,43,10,2,27,46,116,10.5,0.486,0.474,0.105,0.509,3.4,7.2,5.3,25.5,2.1,0.6,18.5,25.5,97,110,-0.1,0.2,0.1,0.022,0,0
"49","Bryant Stith","348","SG",24,"DEN",81,51,2329,312,661,0.472,20,68,0.294,292,593,0.492,267,324,0.824,95,173,268,153,91,18,110,142,911,14.4,0.567,0.487,0.49,0.103,5,8.7,6.9,10.2,2.1,0.6,12,17.7,116,111,3.8,1.8,5.6,0.115,0,0
"50","Bryon Russell","318","SF",24,"UTA",63,15,860,104,238,0.437,13,44,0.295,91,194,0.469,62,93,0.667,44,97,141,34,48,11,42,101,283,11,0.507,0.464,0.391,0.185,6.7,13.4,10.2,5.7,2.9,1,13.1,16.9,101,105,0.1,1.3,1.4,0.079,0,0
"51","Buck Williams","387","PF",34,"POR",82,82,2422,309,604,0.512,1,2,0.5,308,602,0.512,138,205,0.673,251,418,669,78,67,69,119,254,757,13.6,0.545,0.512,0.339,0.003,11.2,20.4,15.6,4.7,1.4,2.1,14.6,14.2,112,105,2.5,3.6,6.1,0.121,0,0
"52","Byron Houston","168","SF",25,"SEA",39,0,258,49,107,0.458,6,22,0.273,43,85,0.506,28,38,0.737,20,35,55,6,13,5,20,50,132,13.8,0.533,0.486,0.355,0.206,9.4,15.8,12.7,3.6,2.5,1.5,13.9,24.1,103,105,0.1,0.4,0.5,0.091,0,0
"53","Byron Scott","324","PG",33,"IND",80,1,1528,265,583,0.455,79,203,0.389,186,380,0.489,193,227,0.85,18,133,151,108,61,13,119,123,802,15.8,0.587,0.522,0.389,0.348,1.5,10.3,6,12.2,2.1,0.7,14.8,24,110,107,2.1,1.9,3.9,0.124,0,0
"54","Calbert Cheaney","63","SG",23,"WSB",78,71,2651,512,1129,0.453,96,283,0.339,416,846,0.492,173,213,0.812,105,216,321,177,80,21,151,215,1293,14.2,0.529,0.496,0.189,0.251,4.4,9.7,7,11,1.5,0.6,11,22.6,106,113,2.1,1.1,3.2,0.058,0,0
